PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,,End-End Delay
1,16,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10183134.4,10195342.4,10195342.4,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,16,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10195342.4,10207550.4,10207550.4,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,17,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10195343.36,10207551.36,10207551.36,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,17,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10207551.36,10219759.36,10219759.36,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,18,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10207552.32,10219760.32,10219760.32,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,18,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10219760.32,10231968.32,10231968.32,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,19,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10219761.28,10231969.28,10231969.28,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,19,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10231969.28,10244177.28,10244177.28,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,20,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10231970.24,10244178.24,10244178.24,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,20,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10244178.24,10256386.24,10256386.24,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,21,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10244179.2,10256387.2,10256387.2,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,21,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10256387.2,10268595.2,10268595.2,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,22,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10256388.16,10268596.16,10268596.16,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,22,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10268596.16,10280804.16,10280804.16,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,23,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10268597.12,10280805.12,10280805.12,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,23,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10280805.12,10293013.12,10293013.12,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,24,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10280806.08,10293014.08,10293014.08,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,24,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10293014.08,10305222.08,10305222.08,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,25,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10293015.04,10305223.04,10305223.04,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,25,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10305223.04,10317431.04,10317431.04,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,26,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10305224,10317432,10317432,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,26,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10317432,10329640,10329640,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,27,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10317432.96,10329640.96,10329640.96,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,27,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10329640.96,10341848.96,10341848.96,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,28,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10329641.92,10341849.92,10341849.92,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,28,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10341849.92,10354057.92,10354057.92,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,29,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10341850.88,10354058.88,10354058.88,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,29,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10354058.88,10366266.88,10366266.88,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,30,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10354059.84,10366267.84,10366267.84,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,30,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10366267.84,10378475.84,10378475.84,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,31,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10366268.8,10378476.8,10378476.8,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,31,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10378476.8,10390684.8,10390684.8,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
